Rank,Name,Platform,Year,Genre,Publisher
103,Need for Speed Underground 2,Wii,2009,Misc,Ubisoft
104,Medal of Honor: Frontline,PS3,2011,Shooter,Electronic Arts
105,Uncharted 3: Drake's Deception,PS2,2003,Racing,Electronic Arts
106,Crash Bandicoot,PS,1998,Fighting,Sony Computer Entertainment
107,Zumba Fitness,PS,1998,Platform,Sony Computer Entertainment
108,Gears of War 2,GC,2001,Fighting,Nintendo
109,Uncharted 2: Among Thieves,WiiU,2014,Racing,Nintendo
110,FIFA 12,PS4,2015,Role-Playing,Bethesda Softworks
111,Big Brain Academy,GC,2003,Racing,Nintendo
112,Red Dead Redemption,Wii,2012,Misc,Ubisoft
113,FIFA 15,PS3,2013,Sports,Electronic Arts
114,Donkey Kong Country Returns,PS2,2004,Racing,Electronic Arts
115,The Legend of Zelda,PS2,2002,Shooter,Electronic Arts
116,Assassin's Creed III,PS3,2011,Action,Sony Computer Entertainment
117,Halo: Combat Evolved,PS,1996,Platform,Sony Computer Entertainment
118,Pokémon Emerald Version,Wii,2010,Sports,505 Games
119,Kingdom Hearts,X360,2008,Shooter,Microsoft Game Studios
120,Pokémon Crystal Version,PS3,2009,Action,Sony Computer Entertainment
121,Halo 3: ODST,PS3,2007,Shooter,Activision
122,Super Mario Sunshine,PS3,2011,Sports,Electronic Arts
123,Street Fighter II: The World Warrior,DS,2005,Misc,Nintendo
124,World of Warcraft,PS3,2010,Action,Take-Two Interactive
125,Driver,PS4,2014,Sports,Electronic Arts
126,Kinect Sports,Wii,2010,Platform,Nintendo
127,Gears of War 3,PS3,2011,Role-Playing,Bethesda Softworks
128,Gears of War,NES,1986,Action,Nintendo
129,Metal Gear Solid 2: Sons of Liberty,PS3,2012,Action,Ubisoft
130,Sonic the Hedgehog 2,XB,2001,Shooter,Microsoft Game Studios
131,Metal Gear Solid 4: Guns of the Patriots,GBA,2004,Role-Playing,Nintendo
132,Metal Gear Solid,PS2,2002,Role-Playing,Sony Computer Entertainment
133,The Last of Us,GB,2000,Role-Playing,Nintendo
134,Final Fantasy XII,X360,2009,Shooter,Microsoft Game Studios
135,LittleBigPlanet,X360,2010,Action,Take-Two Interactive
136,Dragon Quest IX: Sentinels of the Starry Skies,GC,2002,Platform,Nintendo
137,LEGO Star Wars: The Complete Saga,SNES,1992,Fighting,Capcom
138,Resident Evil 2,PC,2004,Role-Playing,Activision
139,Tekken 2,PS,1999,Action,GT Interactive
140,Cooking Mama,X360,2010,Sports,Microsoft Game Studios
141,Destiny,X360,2011,Shooter,Microsoft Game Studios
142,Assassin's Creed II,X360,2006,Shooter,Microsoft Game Studios
143,Super Smash Bros.,PS2,2001,Action,Konami Digital Entertainment
144,Assassin's Creed,GEN,1992,Platform,Sega
145,Batman: Arkham City,PS3,2008,Action,Konami Digital Entertainment
146,Forza Motorsport 3,PS,1998,Action,Konami Digital Entertainment
147,Monster Hunter Freedom Unite,PS3,2013,Action,Sony Computer Entertainment Europe
148,Super Mario Advance,PS2,2006,Role-Playing,Square Enix
149,Mario Kart: Super Circuit,PS3,2008,Platform,Sony Computer Entertainment
150,Pokemon Stadium,DS,2009,Role-Playing,Nintendo
151,Crash Bandicoot: The Wrath of Cortex,Wii,2007,Action,LucasArts
152,Final Fantasy XIII,PS,1998,Action,Virgin Interactive
153,Dr. Mario,PS,1996,Fighting,Sony Computer Entertainment
154,Pokemon Pinball,DS,2006,Simulation,505 Games
155,Final Fantasy IX,PS4,2014,Shooter,Activision
156,Final Fantasy X-2,NES,1988,Puzzle,Nintendo
157,Donkey Kong 64,PS3,2009,Action,Ubisoft
158,Professor Layton and the Curious Village,N64,1999,Fighting,Nintendo
159,Tomb Raider II,X360,2007,Adventure,Ubisoft
160,Madden NFL 2004,PS3,2011,Action,Warner Bros. Interactive Entertainment
161,Dragon Quest VIII: Journey of the Cursed King,X360,2009,Racing,Microsoft Game Studios
162,Diablo III,PSP,2008,Role-Playing,Capcom
163,New Super Mario Bros. U,GBA,2001,Platform,Nintendo
164,Super Mario Land 3: Wario Land,GBA,2001,Racing,Nintendo
165,The Legend of Zelda: Phantom Hourglass,GBA,2001,Platform,Nintendo
166,Donkey Kong Country 2: Diddy's Kong Quest,N64,1999,Strategy,Nintendo
167,Tomodachi Life,PS3,2008,Shooter,Activision
168,Medal of Honor: Rising Sun,PS2,2001,Platform,Universal Interactive
169,Kirby's Dream Land,PS3,2014,Misc,Sony Computer Entertainment
170,Fable III,PS3,2009,Role-Playing,Square Enix
171,Microsoft Flight Simulator,GB,1989,Puzzle,Nintendo
172,Guitar Hero II,GB,1999,Misc,Nintendo
173,Resident Evil 5,X360,2012,Action,Ubisoft
174,Grand Theft Auto: Vice City Stories,PS,2000,Role-Playing,SquareSoft
175,FIFA Soccer 11,PS2,2003,Role-Playing,Electronic Arts
176,Resident Evil,N64,1999,Platform,Nintendo
177,Tony Hawk's Pro Skater,X360,2009,Action,Ubisoft
178,Warzone 2100,DS,2007,Puzzle,Nintendo
179,Spyro the Dragon,PS,1997,Action,Eidos Interactive
180,Link's Crossbow Training,PS2,2008,Sports,Electronic Arts
181,Guitar Hero III: Legends of Rock,PS2,2004,Role-Playing,Square Enix
182,Fallout 3,PC,2012,Role-Playing,Activision
183,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,GBA,2003,Platform,Nintendo
184,Uncharted: Drake's Fortune,WiiU,2012,Platform,Nintendo
185,Madden NFL 06,GB,1994,Platform,Nintendo
186,Diddy Kong Racing,X360,2012,Action,Electronic Arts
187,Monster Hunter Freedom 3,DS,2007,Action,Nintendo
188,God of War III,SNES,1995,Platform,Nintendo
189,StarCraft II: Wings of Liberty,3DS,2013,Simulation,Nintendo
190,Crash Team Racing,DS,2008,Sports,Sega
191,FIFA 17,PS2,2003,Shooter,Electronic Arts
192,Driver 2,GB,1992,Platform,Nintendo
193,The Simpsons: Hit & Run,X360,2010,Role-Playing,Microsoft Game Studios
194,Tony Hawk's Pro Skater 2,XOne,2014,Shooter,Activision
195,Animal Crossing: City Folk,PC,1996,Simulation,Microsoft Game Studios
196,The Lord of the Rings: The Two Towers,PS2,2006,Misc,RedOctane
197,Forza Motorsport 4,PS3,2009,Action,Capcom
198,Tomb Raider,XOne,2014,Action,Take-Two Interactive
199,The Legend of Zelda: A Link to the Past,PSP,2006,Action,Take-Two Interactive
200,The Legend of Zelda: The Wind Waker,PS3,2010,Sports,Electronic Arts
201,Mario & Sonic at the Olympic Winter Games,GB,1999,Platform,Nintendo
202,Luigi's Mansion: Dark Moon,PS,1996,Action,Virgin Interactive
203,Splatoon,PS,1999,Sports,Activision
204,Madden NFL 2005,WiiU,2014,Fighting,Nintendo
205,Pitfall!,PS,1999,Strategy,Eidos Interactive
206,Madden NFL 07,PS,1998,Platform,Sony Computer Entertainment
207,Spider-Man: The Movie,Wii,2007,Shooter,Nintendo
208,Dragon Quest VII: Warriors of Eden,PS2,2007,Misc,Activision
209,Uncharted: The Nathan Drake Collection,X360,2008,Role-Playing,Bethesda Softworks
210,God of War,DS,2007,Role-Playing,Nintendo
211,Nintendo Land,PS3,2007,Action,Sony Computer Entertainment
212,Michael Jackson: The Experience,PS2,2005,Sports,Electronic Arts
213,Tony Hawk's Pro Skater 3,DS,2007,Action,LucasArts
214,Winning Eleven: Pro Evolution Soccer 2007,N64,1997,Racing,Nintendo
215,The Elder Scrolls IV: Oblivion,PSP,2010,Role-Playing,Capcom
216,Zelda II: The Adventure of Link,NES,1990,Puzzle,Nintendo
217,Need for Speed: Most Wanted,PS3,2010,Action,Sony Computer Entertainment
218,Resistance: Fall of Man,PC,2010,Strategy,Activision
219,Sonic the Hedgehog,PS3,2007,Adventure,Ubisoft
220,Kingdom Hearts II,PS3,2014,Sports,Electronic Arts
221,Asteroids,PS,1999,Racing,Sony Computer Entertainment
222,Fable II,PS4,2016,Sports,Electronic Arts
223,Halo 5: Guardians,X360,2011,Action,Warner Bros. Interactive Entertainment
224,Super Mario 3D World,PS,2000,Action,Atari
225,Batman: Arkham Asylum,PS2,2003,Racing,Vivendi Games
226,Assassin's Creed: Revelations,PS,2000,Sports,Activision
227,Namco Museum,Wii,2008,Simulation,Nintendo
228,Metal Gear Solid 3: Snake Eater,PS2,2002,Action,Electronic Arts
229,Daxter,X360,2011,Racing,Microsoft Game Studios
230,Warcraft II: Tides of Darkness,PS,1996,Action,Eidos Interactive
231,FIFA Soccer 06,Wii,2007,Misc,Activision
232,EyeToy Play,SNES,1991,Action,Nintendo
233,Uncharted 4: A Thief's End,GC,2002,Action,Nintendo
234,Gran Turismo 5 Prologue,Wii,2009,Sports,Sega
235,Street Fighter IV,3DS,2013,Action,Nintendo
236,Teenage Mutant Ninja Turtles,WiiU,2015,Shooter,Nintendo
237,Excitebike,PS4,2014,Action,Sony Computer Entertainment
238,Frogger,X360,2007,Misc,Activision
239,Madden NFL 2003,PS2,2004,Sports,Electronic Arts
240,Watch Dogs,2600,1981,Platform,Activision
241,Half-Life,PS2,2006,Sports,Electronic Arts
242,Super Mario World 2: Yoshi's Island,PS2,2002,Action,Activision
243,FIFA Soccer 07,PS,2000,Role-Playing,Enix Corporation
244,The Legend of Zelda: Skyward Sword,PS4,2015,Action,Sony Computer Entertainment
245,Street Fighter II Turbo,PS3,2014,Shooter,Activision
246,Carnival Games,PS2,2005,Action,Sony Computer Entertainment
247,World of Warcraft: The Burning Crusade,WiiU,2012,Misc,Nintendo
248,Fallout: New Vegas,Wii,2010,Misc,Ubisoft
249,God of War II,PS2,2001,Sports,Activision
250,Forza Motorsport 2,PS2,2006,Sports,Konami Digital Entertainment
251,World Soccer Winning Eleven 9,X360,2006,Role-Playing,Take-Two Interactive
252,Namco Museum Vol.3,NES,1987,Adventure,Nintendo
253,Tekken Tag Tournament,PS2,2005,Racing,Electronic Arts
254,Far Cry 4,PS3,2006,Shooter,Sony Computer Entertainment
255,Star Fox 64,GEN,1991,Platform,Sega
256,Golf,PS2,2005,Role-Playing,Square Enix
257,Professor Layton and the Diabolical Box,X360,2013,Sports,Electronic Arts
258,Left 4 Dead 2,X360,2014,Shooter,Activision
259,Namco Museum: 50th Anniversary,2600,1980,Shooter,Atari
260,EA Sports Active,X360,2008,Role-Playing,Microsoft Game Studios
261,Assassin's Creed: Unity,XOne,2015,Shooter,Microsoft Game Studios
262,Donkey Kong Land,WiiU,2013,Platform,Nintendo
263,Tony Hawk's Underground,PS3,2009,Action,Eidos Interactive
264,Assassin's Creed IV: Black Flag,PS3,2011,Action,Ubisoft
265,Monster Hunter 4 Ultimate,GBA,2001,Misc,Namco Bandai Games
266,MotorStorm,PS2,2004,Action,Konami Digital Entertainment
267,Tekken 5,PSP,2006,Platform,Sony Computer Entertainment
268,Dragon Warrior III,PC,1995,Strategy,Activision
269,Sports Champions,3DS,2011,Action,Nintendo
270,NBA 2K16,PS2,2005,Sports,Electronic Arts
271,World Soccer Winning Eleven 8 International,PS2,2003,Misc,Sony Computer Entertainment
272,Flash Focus: Vision Training in Minutes a Day,PS4,2016,Shooter,Sony Computer Entertainment
273,Namco Museum Vol.1,PS3,2007,Racing,Sony Computer Entertainment
274,The Legend of Zelda: Link's Awakening,X360,2011,Action,Ubisoft
275,Mario & Luigi: Bowser's Inside Story,PS3,2009,Fighting,Capcom
276,Big Brain Academy: Wii Degree,X360,2011,Sports,Electronic Arts
277,Nintendogs + cats,NES,1989,Action,Palcom
278,Batman: Arkham Knight,NES,1984,Racing,Nintendo
279,Mario & Sonic at the London 2012 Olympic Games,PS,1997,Action,Hasbro Interactive
280,LEGO Indiana Jones: The Original Adventures,PS2,2002,Sports,Electronic Arts
281,Resident Evil Director's Cut,PS4,2014,Action,Ubisoft
282,Ratchet & Clank: Size Matters,PC,1997,Shooter,Vivendi Games
283,Just Dance 2014,SNES,1995,Platform,Nintendo
284,The Sims: Unleashed,PS2,2006,Sports,Electronic Arts
285,Super Paper Mario,Wii,2011,Action,Nintendo
286,Harry Potter and the Sorcerer's Stone,SNES,1992,Fighting,Capcom
287,The Witcher 3: Wild Hunt,Wii,2007,Misc,Take-Two Interactive
288,Resident Evil 3: Nemesis,XOne,2015,Role-Playing,Bethesda Softworks
289,Spyro: Year of the Dragon,PC,2007,Role-Playing,Activision
290,FIFA Soccer 2005,X360,2010,Role-Playing,Bethesda Softworks
291,Pokémon Trading Card Game,PS2,2007,Action,Sony Computer Entertainment
292,Battlefield 4,X360,2007,Racing,Microsoft Game Studios
293,MySims,PS2,2005,Sports,Konami Digital Entertainment
294,Friend Collection,PS,1996,Misc,Sony Computer Entertainment
295,Tony Hawk's Pro Skater 4,PS2,2000,Fighting,Namco Bandai Games
296,Midnight Club 3: DUB Edition,PS4,2014,Shooter,Ubisoft
297,Banjo-Kazooie,N64,1997,Shooter,Nintendo
298,SOCOM: U.S. Navy SEALs,PS4,2014,Misc,Sony Computer Entertainment Europe
299,Guitar Hero: World Tour,NES,1984,Sports,Nintendo
300,Gran Turismo 6,PS3,2008,Role-Playing,Bethesda Softworks
301,Jak and Daxter: The Precursor Legacy,DS,2007,Puzzle,Nintendo
302,Pokemon Snap,X360,2009,Shooter,Electronic Arts
303,FIFA Soccer 10,PS2,2005,Misc,Namco Bandai Games
304,Pro Evolution Soccer 2008,Wii,2009,Sports,Electronic Arts
305,Resident Evil 4,PS4,2014,Action,Ubisoft
306,Tom Clancy's The Division,GB,1994,Platform,Nintendo
307,Star Wars: Battlefront,PS2,2003,Sports,Activision
308,Doom II: Hell on Earth,PS3,2013,Action,Ubisoft
309,The Simpsons: Road Rage,3DS,2014,Role-Playing,Nintendo
310,Cooking Mama 2: Dinner With Friends,PS3,2006,Racing,Sony Computer Entertainment
311,Luigi's Mansion,PC,2011,Role-Playing,Bethesda Softworks
312,Star Wars: Battlefront II,PS2,2005,Fighting,Namco Bandai Games
313,WWF SmackDown!,NES,1988,Role-Playing,Enix Corporation
314,Croc: Legend of the Gobbos,PS3,2010,Sports,Sony Computer Entertainment
315,The Getaway,PS4,2015,Sports,Take-Two Interactive
316,Tomb Raider III: Adventures of Lara Croft,PS2,2004,Sports,Konami Digital Entertainment
317,James Bond 007: Agent Under Fire,DS,2007,Misc,Nintendo
318,LEGO Star Wars: The Video Game,PS,1995,Misc,Sony Computer Entertainment
319,Rugrats in Paris: The Movie,GB,1992,Action,Nintendo
320,Spyro 2: Ripto's Rage!,DS,2009,Role-Playing,Nintendo
321,Left 4 Dead,Wii,2007,Misc,Nintendo
322,Donkey Kong Country 3: Dixie Kong's Double Trouble!,3DS,2011,Simulation,Nintendo
323,Assassin's Creed: Brotherhood,PS4,2015,Action,Warner Bros. Interactive Entertainment
324,Kung Fu,Wii,2011,Sports,Sega
325,Clubhouse Games,X360,2008,Action,Activision
326,FIFA Soccer 2004,PS,1996,Action,Virgin Interactive
327,Battlefield: Bad Company 2,PSP,2007,Platform,Sony Computer Entertainment
328,Guitar Hero: On Tour,Wii,2013,Misc,Ubisoft
329,Far Cry 3,PC,2002,Simulation,Electronic Arts
330,Monster Hunter 4,Wii,2007,Platform,Nintendo
331,Borderlands,PS,2001,Action,Electronic Arts
332,Tekken 4,PS4,2015,Role-Playing,Namco Bandai Games
333,LittleBigPlanet 2,PS,1999,Action,Eidos Interactive
334,Grand Theft Auto 2,PS,2000,Platform,Sony Computer Entertainment
335,Final Fantasy III,PS2,2004,Sports,Electronic Arts
336,Spider-Man 2,GB,1998,Strategy,Nintendo
337,F-1 Race,PS3,2013,Shooter,Electronic Arts
338,FIFA Soccer 2003,DS,2007,Simulation,Electronic Arts
339,Crash Bash,DS,2009,Misc,Nintendo
340,LEGO Batman: The Videogame,PS2,2002,Sports,Activision
341,Metal Gear Solid V: The Phantom Pain,PSP,2005,Racing,Take-Two Interactive
342,The Legend of Zelda: Spirit Tracks,N64,1998,Platform,Nintendo
343,WWF War Zone,PS2,2002,Shooter,Sony Computer Entertainment
344,The Legend of Zelda: Majora's Mask,Wii,2008,Misc,Activision
345,Professor Layton and the Unwound Future,PS3,2013,Racing,Sony Computer Entertainment
346,Rugrats: Search For Reptar,PS2,2001,Platform,Sony Computer Entertainment
347,English Training: Have Fun Improving Your Skills!,N64,1999,Simulation,Nintendo
348,James Bond 007: Nightfire,PS3,2009,Sports,Electronic Arts
349,Ratchet & Clank,PS2,2007,Sports,Konami Digital Entertainment
350,Mario Party 9,PS4,2013,Shooter,Activision
351,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,Capcom
352,Max Payne,PS4,2016,Shooter,Ubisoft
353,The Lord of the Rings: The Return of the King,PS2,2004,Shooter,LucasArts
354,Assassin's Creed Syndicate,PC,1994,Shooter,Virgin Interactive
355,True Crime: Streets of LA,PS2,2001,Racing,Electronic Arts
356,Wii Music,DS,2007,Simulation,505 Games
357,Gran Turismo (PSP),GC,2001,Action,Nintendo
358,Monster Hunter X,PS2,2005,Shooter,LucasArts
359,Tekken,PS,2000,Fighting,THQ
360,L.A. Noire,PS,1997,Platform,Fox Interactive
361,Madden NFL 16,PS2,2006,Action,Take-Two Interactive
362,Yokai Watch 2 Ganso/Honke,PS2,2002,Action,Sony Computer Entertainment
363,007: Tomorrow Never Dies,PS,1997,Action,Eidos Interactive
364,Baseball,PS2,2001,Shooter,Electronic Arts
365,Killer Instinct,PS2,2005,Action,Eidos Interactive
366,WWF SmackDown! 2: Know Your Role,X360,2013,Shooter,Electronic Arts
367,Crisis Core: Final Fantasy VII,X360,2010,Sports,Electronic Arts
368,God of War: Chains of Olympus,PS,2000,Action,THQ
369,Dragon Quest VI: Maboroshi no Daichi,PS,1999,Platform,Sony Computer Entertainment
370,Dance Central,X360,2008,Shooter,Electronic Arts
371,Enter the Matrix,DS,2009,Sports,Sega
372,Super Mario Maker,X360,2009,Action,Capcom
373,Rhythm Heaven,SNES,1996,Platform,Nintendo
374,Ace Combat 04: Shattered Skies,X360,2010,Action,Ubisoft
375,Club Penguin: Elite Penguin Force,NES,1985,Action,Nintendo
376,Animal Crossing,X360,2009,Action,Eidos Interactive
377,Sonic Rush,DS,2006,Misc,Nintendo
378,Resident Evil 6,PS2,2008,Sports,Electronic Arts
379,Halo: The Master Chief Collection,XOne,2015,Shooter,Electronic Arts
380,FIFA Soccer 08,X360,2010,Shooter,Electronic Arts
381,Spider-Man,DS,2008,Misc,Activision
382,Need for Speed III: Hot Pursuit,XOne,2014,Action,Ubisoft
383,Star Wars Episode I Racer,PS3,2012,Shooter,Ubisoft
384,Personal Trainer: Cooking,3DS,2013,Role-Playing,Capcom
385,Dragon Warrior IV,X360,2009,Shooter,Take-Two Interactive
386,Heavy Rain,PS2,2002,Fighting,Namco Bandai Games
387,Mass Effect 2,PS4,2013,Shooter,Electronic Arts
388,Dragon Ball Z: Budokai,PS3,2011,Platform,Sony Computer Entertainment
389,Madden NFL 2002,PS,1998,Action,Take-Two Interactive
390,World Class Track Meet,SNES,1994,Role-Playing,SquareSoft
391,Borderlands 2,PS2,2004,Action,Activision
392,The Legend of Zelda: A Link Between Worlds,GB,1990,Racing,Nintendo
393,Donkey Kong,PS2,2002,Sports,Electronic Arts
394,The Sims: Vacation,PS,2000,Misc,Sony Computer Entertainment
395,Mass Effect 3,X360,2008,Action,Warner Bros. Interactive Entertainment
396,Kung Fu Panda,PS4,2015,Action,Konami Digital Entertainment
397,Epic Mickey,DS,2009,Action,Nintendo
398,Saints Row 2,PS,1998,Fighting,Acclaim Entertainment
399,Rayman,N64,2000,Action,Nintendo
400,Killzone 2,DS,2008,Puzzle,Nintendo
401,Tom Clancy's Splinter Cell,PS,1998,Adventure,THQ
402,Mike Tyson's Punch-Out!!,X360,2013,Action,Ubisoft
403,WWE SmackDown! Shut Your Mouth,DS,2006,Misc,Nintendo
404,Gears of War: Ultimate Edition,PS2,2002,Shooter,Electronic Arts
405,NBA 2K13,PS2,2002,Platform,Sony Computer Entertainment
406,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2012,Misc,Nintendo
407,wwe Smackdown vs. Raw 2006,PS2,2005,Action,LucasArts
408,Middle-Earth: Shadow of Mordor,PS2,2001,Shooter,Take-Two Interactive
409,Star Fox,PS2,2003,Action,Electronic Arts
410,The Sims: Livin Large,PS4,2015,Action,Ubisoft
411,World Soccer Winning Eleven 6 International,XOne,2014,Shooter,Activision
412,Devil May Cry,PS2,2003,Action,Activision
413,Animal Crossing: Happy Home Designer,Wii,2008,Misc,Nintendo
414,The Sims 4,PSP,2009,Racing,Sony Computer Entertainment
415,Star Wars: The Old Republic,3DS,2015,Action,Capcom
416,Sonic Heroes,PS,1995,Fighting,Sony Computer Entertainment
417,Kirby Super Star Ultra,XOne,2015,Sports,Electronic Arts
418,Hitman 2: Silent Assassin,PS3,2011,Adventure,Take-Two Interactive
419,Wave Race 64,PS4,2015,Sports,Electronic Arts
420,SOCOM II: U.S. Navy SEALs,3DS,2014,Role-Playing,Nintendo
421,WWE SmackDown! vs. RAW 2006,PS,1999,Shooter,Electronic Arts
422,inFAMOUS,NES,1983,Sports,Nintendo
423,Pac-Man Collection,SNES,1995,Fighting,Nintendo
424,Mass Effect,PS,2000,Fighting,THQ
425,WarioWare: Smooth Moves,PSP,2007,Role-Playing,Square Enix
